ID,name,postalCode,latitude,longitude,"Buy Online Pick Up In Store","Buy Online Pick Up Curbside","Local Store Delivery",aland,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more_[0],householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,population_density_sq_mi,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families,SIMULATED_SALES,postalCode,DOMESTICMIG2019,NETMIG2019
Kentucky-Jeffersontown,"Louisville At Home",40299,38.221307,-85.540602,TRUE,TRUE,TRUE,137572400,75396,3455,93934,3818,37139,1530,0.07,0.01,45542,9248,90401,6592,85853,8260,54395,4473,16127,1387,3415,3219,2209,3260,1472,1165,41463,32403,4825,71,1379,23,104,859,1799,780.6,41463,2213,2991,2214,2888,2560,3228,2648,2563,2732,2932,2136,2986,2420,2406,2496,2050,39.5,28707,0.05,0.24,0.31,0.24,0.16,11173,0.04,22581,0.03,16794,212700,16127,11173,8799,3652,2374,1163,4954,12296811,40299,-3669,-3170
"Oklahoma-Oklahoma City","Oklahoma City At Home",73128,35.458639,-97.620831,TRUE,TRUE,TRUE,17130585,68654,16121,79626,9276,29096,3512,0.05,0.03,81364,17682,62606,6572,91433,11032,39750,7053,1528,153,333,334,317,303,20,68,4669,2914,0,75,662,0,0,179,839,705.9,4669,342,368,216,307,264,264,150,199,368,331,532,334,433,297,146,118,33,3011,0.13,0.29,0.32,0.18,0.09,998,0.03,2476,0.02,1873,150000,1528,998,684,338,314,153,530,13153554,73128,3822,8306
"North Carolina-Charlotte","Pineville At Home",28134,35.077265,-80.876606,TRUE,TRUE,TRUE,22201903,60116,5995,80729,6488,32963,2790,0.08,0.02,41364,24581,69933,16443,77054,24925,40917,8220,4274,799,933,866,453,652,243,328,11037,5591,2996,21,731,0,0,300,1398,1287.5,11037,720,578,693,890,1099,608,513,868,954,589,557,835,779,526,398,430,38.5,7722,0.08,0.19,0.3,0.32,0.11,2581,0.08,5763,0.04,4456,213400,4274,2581,1775,644,806,533,1693,12838723,28134,4382,8717
Oklahoma-Tulsa,"Tulsa At Home",74146,36.090611,-95.854295,TRUE,TRUE,TRUE,13192635,35483,2139,45976,2563,16605,902,0.01,0.01,31442,6727,32541,3950,44028,7452,33750,16910,5601,1968,1606,1102,425,372,77,51,16163,4636,1640,353,539,117,0,676,8202,3173.1,16163,1558,1286,1492,1137,893,783,639,316,1524,1475,1355,1285,940,654,543,283,27.9,8947,0.23,0.4,0.27,0.09,0.02,3512,0.24,7922,0.07,6141,95800,5601,3512,1945,1073,1567,1032,2089,13022039,74146,150,1277
Georgia-Kennesaw,"Kennesaw At Home",30144,34.023231,-84.569042,TRUE,TRUE,TRUE,58419859,70574,4080,88308,4207,33146,1793,0.06,0.01,42171,7008,76584,2319,90341,12033,46337,7786,20568,2878,4200,3735,3789,3085,1692,1189,56781,32621,11926,212,2727,13,418,2063,6801,2517.3,56781,3054,4759,6496,4040,3729,3536,2410,2054,3451,4635,5370,3167,4014,2772,2191,1103,30.8,34064,0.06,0.19,0.31,0.29,0.15,12372,0.06,32959,0.04,21633,205300,20568,12372,8988,4311,3384,1736,8196,14388649,30144,-2114,-360
Georgia-Norcross,"Norcross At Home",30093,33.928495,-84.172719,TRUE,TRUE,TRUE,30864591,44986,2450,52772,2236,18389,828,0.01,0,38389,13187,42454,2998,53043,4959,43202,5777,18201,4032,6158,4490,1687,1294,390,150,56290,5034,13021,38,5695,0,67,1441,30994,4723.5,56290,4178,4185,5334,4803,3675,2504,1490,976,5564,4517,5960,5466,3532,2342,1196,568,28.6,32856,0.32,0.29,0.22,0.13,0.04,11812,0.19,29922,0.03,19851,138900,18201,11812,6927,4008,4885,3061,6389,8750207,30093,-59,2289
Georgia-Stockbridge,"Stockbridge At Home",30281,33.546957,-84.282796,TRUE,TRUE,TRUE,181830076,60035,4622,73486,3680,27403,1448,0.04,0.01,44625,17017,55000,4884,74830,7380,46905,5743,24533,3745,6230,5243,3707,3661,1050,897,68456,23536,33221,118,3362,0,429,1747,6043,975.1,68456,4238,5011,5106,4468,5746,4791,3727,2442,5015,5300,4401,3917,4650,4446,2896,2302,35.7,44085,0.11,0.3,0.33,0.18,0.09,17909,0.09,35311,0.06,26883,156400,24533,17909,11613,4370,6296,3799,6624,13221403,30281,3894,3920
Illinois-O'Fallon,"O'Fallon At Home",62269,38.586065,-89.941936,TRUE,TRUE,TRUE,69988827,86232,6960,109752,7715,41680,2845,0.1,0.01,34375,12999,90212,8931,109192,8681,58432,9615,11867,1191,2187,1811,1647,2409,1406,1216,31567,23862,4010,34,976,0,177,1045,1463,1168.2,31567,2471,2054,1597,2261,2384,2166,1780,1494,2248,2336,1738,2301,2040,1879,1728,1090,37.9,20774,0.04,0.18,0.32,0.24,0.22,8581,0.03,15541,0.05,12686,205000,11867,8581,6913,3056,1668,980,3286,8147681,62269,-2115,-2054
Kentucky-Lexington,"Lexington At Home",40509,38.02637,-84.417605,TRUE,TRUE,FALSE,106489533,77436,4334,105149,5035,43143,1955,0.1,0.01,32357,7478,84611,5311,89551,6299,55750,5401,16874,1978,3452,2741,2229,3209,1605,1660,41645,30621,5300,11,2559,33,125,1101,1895,1012.9,41645,2814,2509,3030,3567,3018,2569,2091,1887,3155,2402,2868,3510,3049,2314,1711,1151,36,28013,0.05,0.15,0.27,0.3,0.23,10858,0.05,23957,0.04,18200,242100,16874,10858,8294,3902,2564,1358,6016,10747911,40509,-943,-701
Ohio-Hilliard,"Hilliard At Home",43026,40.02583,-83.120477,TRUE,TRUE,TRUE,90832626,89129,4158,105877,4404,40590,1629,0.09,0.01,42533,18608,92731,6006,105951,3750,50562,7035,23919,2725,3762,3418,3521,5375,2890,2228,63047,51257,3724,55,3544,0,59,1514,2894,1797.7,63047,4214,4473,4088,4952,4654,4380,2904,2307,4582,5128,3462,4798,4153,4374,3037,1541,35.3,41378,0.04,0.17,0.26,0.33,0.21,16809,0.06,36220,0.03,24662,224900,23919,16809,12991,6281,3818,2467,7110,9679402,43026,-2967,628
"North Carolina-Greensboro","Greensboro At Home",27407,36.053332,-79.898028,TRUE,TRUE,TRUE,78578333,50647,2643,65421,3191,26465,1298,0.03,0.01,26596,7842,51936,3810,57629,3414,41337,8118,20264,4504,5493,4200,2331,2463,620,653,51900,19664,16311,404,6008,22,327,1711,7453,1710.7,51900,3693,3181,4883,4147,2959,2989,2673,2296,4029,3040,3806,3642,3423,3220,2367,1552,33.9,34148,0.12,0.23,0.31,0.23,0.1,12606,0.13,27270,0.05,22527,140700,20264,12606,8102,3672,4504,2817,7658,11709817,27407,1947,3079
Missouri-Fenton,"Fenton At Home",63026,38.51001,-90.441019,TRUE,TRUE,TRUE,65573657,80420,3054,97904,3389,37336,1443,0.09,0.01,40586,14526,88684,6191,89473,8191,61621,3304,16703,2030,2554,3090,2878,3396,1308,1447,44333,40751,358,68,951,17,26,808,1354,1751,44333,2835,2885,2067,2705,3091,3424,2807,2450,2617,3462,2280,2894,3098,3481,2636,1601,40.8,30442,0.07,0.24,0.32,0.25,0.12,12354,0.06,24192,0.04,17497,204700,16703,12354,9547,3940,2807,1379,4349,8524758,63026,1567,1954
"Arkansas-Little Rock","Little Rock At Home",72211,34.74786,-92.405495,TRUE,TRUE,FALSE,19508112,64168,4376,91212,6003,40885,2646,0.09,0.02,25225,6489,63357,8919,81442,9032,56250,14330,9855,1657,2333,1577,1334,1355,725,874,22553,13647,5276,23,1827,0,220,487,1073,2994.2,22553,1791,738,2245,1889,1313,1435,1558,1128,1563,897,1906,1773,1332,1163,1077,745,34.9,15925,0.03,0.16,0.27,0.32,0.23,5410,0.08,13090,0.03,11161,191500,9855,5410,3842,1401,1568,936,4445,12450369,72211,-1415,-1262
